id,isolate,aliases,country,continent,region,year,source,NCBI_BioProject,comments,sender,curator,date_entered,datestamp,FKS,LEU2,NMT1,TRP1,UGP1,URA3,ST (MLST)
24,J-05,,Japan,Asia,,,sputum,,,2,1,2016-02-05,2016-02-05,6,6,5,2,3,4,19
25,J-06,,Japan,Asia,,,sputum,,,2,1,2016-02-05,2016-02-05,8,4,3,5,1,2,10
26,J-07,,Japan,Asia,,,nasal swab,,,2,1,2016-02-05,2016-02-05,3,4,4,3,3,4,7
27,J-08,,Japan,Asia,,,nasal swab,,,2,1,2016-02-05,2016-02-05,3,4,4,3,3,4,7
28,J-09,,Japan,Asia,,,faeces,,,2,1,2016-02-05,2016-02-05,3,4,4,3,3,4,7
29,J-10,,Japan,Asia,,,faeces,,,2,1,2016-02-05,2016-02-05,8,4,3,5,1,12,29
30,J-11,,Japan,Asia,,,unknown,,Secretion,2,1,2016-02-05,2016-02-05,3,4,4,3,3,4,7
31,J-12,,Japan,Asia,,,unknown,,Secretion,2,1,2016-02-05,2016-02-05,2,5,7,5,1,2,6
32,J-13,,Japan,Asia,,,pus,,,2,1,2016-02-05,2016-02-05,3,4,4,3,3,13,30
33,J-14,,Japan,Asia,,,pus,,,2,1,2016-02-05,2016-02-05,3,4,4,3,3,13,30
34,NCPF3309,,Unknown,,,,faeces,,,2,4,2016-02-05,2019-08-07,8,5,3,5,1,1,15
35,SA-01,,Chile,South America,,,unknown,,,2,1,2016-02-05,2016-02-05,1,2,2,1,1,1,2
36,SA-02,,Chile,South America,,,medical device,,Catheter,2,1,2016-02-05,2016-02-05,1,2,2,1,1,4,12
37,SA-03,,Colombia,South America,Bogota,,bronchoalveolar lavage,,,2,1,2016-02-05,2016-02-05,10,5,12,11,3,2,36
38,SA-04,,Colombia,South America,Bogota,,unknown,,Tissue,2,1,2016-02-05,2016-02-05,10,5,12,11,3,2,36
39,SA-05,,Colombia,South America,Bogota,,blood,,,2,1,2016-02-05,2016-02-05,10,5,12,11,3,2,36
40,SA-06,,Colombia,South America,Bogota,,unknown,,,2,1,2016-02-05,2016-02-05,10,5,12,11,3,2,36
41,SA-07,,Colombia,South America,Bogota,,ascites,,,2,1,2016-02-05,2016-02-05,7,7,11,10,5,9,16
42,SA-08,,Colombia,South America,Bogota,,blood,,,2,1,2016-02-05,2016-02-05,10,5,12,11,3,2,36
43,SA-09,,Colombia,South America,Bogota,,blood,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
44,SA-10,,Colombia,South America,Bogota,,unknown,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
45,SA-11,,Colombia,South America,Bogota,,ascites,,,2,1,2016-02-05,2016-02-05,7,7,11,10,5,9,16
46,SA-12,,Colombia,South America,Bogota,,joint fluid,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
47,SA-13,,Colombia,South America,Bogota,,bronchoalveolar lavage,,,2,1,2016-02-05,2016-02-05,7,7,11,10,5,9,16
48,SA-14,,Colombia,South America,Bogota,,joint fluid,,,2,1,2016-02-05,2016-02-05,8,5,3,5,1,1,15
49,SA-15,,Colombia,South America,Bogota,,joint fluid,,,2,1,2016-02-05,2016-02-05,7,5,6,12,1,8,22
50,SA-16,,Colombia,South America,Bogota,,bronchoalveolar lavage,,,2,1,2016-02-05,2016-02-05,8,5,3,5,1,1,15
51,SA-17,,Argentina,South America,Buenos Aires,,unknown,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
52,SA-18,,Argentina,South America,Buenos Aires,,unknown,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
53,SA-19,,Argentina,South America,Buenos Aires,,unknown,,,2,1,2016-02-05,2016-02-05,5,7,20,7,3,6,33
54,SA-20,,Argentina,South America,Buenos Aires,,blood,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
55,SA-21,,Argentina,South America,Buenos Aires,,unknown,,,2,1,2016-02-05,2016-02-05,8,5,3,5,1,1,15
56,SA-22,,Argentina,South America,Buenos Aires,,ascites,,,2,1,2016-02-05,2016-02-05,2,5,7,5,1,2,6
57,SA-23,,Argentina,South America,Buenos Aires,,unknown,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
58,SA-24,,Argentina,South America,Buenos Aires,,unknown,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
59,SA-25,,Argentina,South America,Buenos Aires,,unknown,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
60,SA-26,,Argentina,South America,Buenos Aires,,CSF,,,2,1,2016-02-05,2016-02-05,14,6,9,15,8,14,34
61,SA-27,,Argentina,South America,Buenos Aires,,CSF,,,2,1,2016-02-05,2016-02-05,8,4,3,5,1,2,10
62,SA-28,,Brazil,South America,Florianopolis,,unknown,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
63,SA-29,,Brazil,South America,Florianopolis,,unknown,,,2,1,2016-02-05,2016-02-05,7,7,11,10,5,9,16
64,SA-30,,Mexico,North America,"Guadalajara,",,unknown,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
65,SA-31,,Mexico,North America,Guadalajara,,sputum,,,2,1,2016-02-05,2016-02-05,15,9,19,2,3,4,31
66,SA-32,,Mexico,North America,Guadalajara,,sputum,,,2,1,2016-02-05,2016-02-05,6,6,5,2,3,4,19
67,SA-33,,Mexico,North America,Merida,,blood,,,2,1,2016-02-05,2016-02-05,7,7,11,10,5,9,16
68,SA-34,,Brazil,South America,Porto Alegre,,unknown,,,2,1,2016-02-05,2016-02-05,7,5,6,12,1,8,22
69,SA-35,,Brazil,South America,Porto Alegre,,unknown,,,2,1,2016-02-05,2016-02-05,7,7,11,10,5,9,16
70,SA-36,,Ecuador,South America,"Quito,",,ascites,,,2,1,2016-02-05,2016-02-05,7,7,11,10,5,9,16
71,SA-37,,Ecuador,South America,Quito,,unknown,,Tissue,2,1,2016-02-05,2016-02-05,8,5,3,5,1,1,15
72,SA-38,,Ecuador,South America,Quito,,ascites,,,2,1,2016-02-05,2016-02-05,8,5,3,5,1,1,15
73,SA-39,,Ecuador,South America,Quito,,bronchoalveolar lavage,,,2,1,2016-02-05,2016-02-05,10,5,12,11,3,2,36
74,SA-40,,Ecuador,South America,Quito,,bronchoalveolar lavage,,,2,1,2016-02-05,2016-02-05,10,5,12,11,3,2,36
75,SA-41,,Ecuador,South America,Quito,,bronchoalveolar lavage,,,2,1,2016-02-05,2016-02-05,10,5,12,11,3,2,36
76,SA-42,,Ecuador,South America,Quito,,bronchoalveolar lavage,,,2,1,2016-02-05,2016-02-05,10,5,12,11,3,2,36
77,SA-43,,Ecuador,South America,Quito,,bronchoalveolar lavage,,,2,1,2016-02-05,2016-02-05,10,5,12,11,3,2,36
78,SA-44,,Ecuador,South America,Quito,,bronchoalveolar lavage,,,2,1,2016-02-05,2016-02-05,10,5,12,11,3,2,36
79,SA-45,,Ecuador,South America,Quito,,bronchoalveolar lavage,,,2,1,2016-02-05,2016-02-05,8,4,3,5,1,2,10
80,SA-46,,Ecuador,South America,Quito,,sputum,,,2,1,2016-02-05,2016-02-05,8,5,3,5,1,1,15
81,SA-47,,Ecuador,South America,Quito,,sputum,,,2,1,2016-02-05,2016-02-05,8,5,3,5,1,1,15
82,SA-48,,Ecuador,South America,Quito,,sputum,,,2,1,2016-02-05,2016-02-05,3,4,4,3,3,4,7
83,SA-49,,Ecuador,South America,Quito,,sputum,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
84,SA-50,,Ecuador,South America,Quito,,unknown,,,2,1,2016-02-05,2016-02-05,16,9,18,16,7,16,32
85,SA-51,,Brazil,South America,Rio de Janeiro,,unknown,,,2,1,2016-02-05,2016-02-05,7,7,11,10,5,15,35
86,SA-52,,Brazil,South America,Rio de Janeiro,,unknown,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
87,SA-53,,Chile,South America,Santiago,,unknown,,,2,1,2016-02-05,2016-02-05,8,4,3,5,1,2,10
88,SA-54,,Chile,South America,Santiago,,unknown,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
89,SA-55,,Chile,South America,Santiago,,unknown,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
90,SA-56,,Chile,South America,Santiago,,unknown,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
91,SA-57,,Brazil,South America,Sao Paolo,,unknown,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
92,SP-01,,Spain,Europe,Galicia,,blood,,,2,1,2016-02-05,2016-02-05,4,2,2,1,2,1,11
93,SP-02,,Spain,Europe,Castillia-La Mancha,,blood,,,2,1,2016-02-05,2016-02-05,8,4,3,5,1,2,10
94,SP-03,,Spain,Europe,Almeria,,unknown,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
95,SP-04,,Spain,Europe,Vizcaya,,unknown,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
96,SP-05,,Spain,Europe,Canary Islands,,unknown,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
97,SP-06,,Spain,Europe,Asturias,,unknown,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
98,SP-07,,Spain,Europe,Albacete,,unknown,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
99,SP-08,,Spain,Europe,Barcelona,,unknown,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
100,SP-09,,Spain,Europe,Alicante,,unknown,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
101,SP-10,,Spain,Europe,Madrid,,unknown,,,2,1,2016-02-05,2016-02-05,8,4,3,5,1,2,10
102,SP-11,,Spain,Europe,Alicante,,unknown,,,2,1,2016-02-05,2016-02-05,6,6,5,2,3,4,19
103,SP-12,,Spain,Europe,Tarragona,,unknown,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
104,SP-13,,Spain,Europe,Pontevedra,,unknown,,,2,1,2016-02-05,2016-02-05,1,2,2,1,1,1,2
105,SP-14,,Spain,Europe,Albacete,,unknown,,,2,1,2016-02-05,2016-02-05,8,4,3,5,1,2,10
106,SP-15,,Spain,Europe,Madrid,,unknown,,,2,1,2016-02-05,2016-02-05,11,5,7,5,1,2,14
107,SP-16,,Spain,Europe,Zamora,,unknown,,,2,1,2016-02-05,2016-02-05,7,5,6,12,1,8,22
108,SP-17,,Spain,Europe,Lugo,,unknown,,,2,1,2016-02-05,2016-02-05,4,2,2,1,2,1,11
109,UK-01,,UK,Europe,Newcastle,,blood,,,2,1,2016-02-05,2016-02-05,7,1,1,6,4,4,1
110,UK-02,,UK,Europe,Chester,,vaginal swab,,,2,1,2016-02-05,2016-02-05,1,2,2,1,1,1,2
111,UK-03,,UK,Europe,Salford,,vaginal swab,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
112,UK-04,,UK,Europe,Hartlepool,,blood,,,2,1,2016-02-05,2016-02-05,1,2,2,1,1,1,2
113,UK-05,,UK,Europe,West Cumberland,,urine,,,2,1,2016-02-05,2016-02-05,7,3,9,8,1,5,4
114,UK-06,,UK,Europe,Salford,,throat swab,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
115,UK-07,,UK,Europe,Queens Park,,blood,,,2,1,2016-02-05,2016-02-05,14,9,14,14,6,10,23
116,UK-08,,UK,Europe,Salford,,urine,,,2,1,2016-02-05,2016-02-05,1,2,2,1,1,1,2
117,UK-09,,UK,Europe,Salford,,throat swab,,,2,1,2016-02-05,2016-02-05,9,9,10,4,3,2,24
118,UK-10,,UK,Europe,Liverpool,,blood,,,2,1,2016-02-05,2016-02-05,7,5,6,12,1,8,22
119,UK-11,,UK,Europe,Burnley,,blood,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
120,UK-12,,UK,Europe,Salford,,blood,,,2,1,2016-02-05,2016-02-05,2,5,7,5,1,2,6
121,UK-13,,UK,Europe,Worksop,,sputum,,,2,1,2016-02-05,2016-02-05,1,2,2,1,1,1,2
122,UK-14,,UK,Europe,Salford,,bronchoalveolar lavage,,,2,1,2016-02-05,2016-02-05,2,5,7,5,1,2,6
123,UK-15,,UK,Europe,Salford,,blood,,,2,1,2016-02-05,2016-02-05,1,2,2,1,1,1,2
124,UK-16,,UK,Europe,Stockport,,unknown,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
125,UK-17,,UK,Europe,Salford,,throat swab,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
126,UK-18,,UK,Europe,Salford,,medical device,,Femoral Catheter,2,1,2016-02-05,2016-02-05,1,2,2,1,1,1,2
127,UK-19,,UK,Europe,Newcastle,,other,,Abscess,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
128,UK-20,,UK,Europe,Ormskirk,,blood,,,2,1,2016-02-05,2016-02-05,1,2,2,1,1,1,2
129,UK-21,,UK,Europe,Salford,,other,,Abdominal Abscess,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
130,UK-22,,UK,Europe,Rochdale,,vaginal swab,,,2,1,2016-02-05,2016-02-05,7,4,3,4,1,8,26
131,UK-23,,UK,Europe,Bolton,,vaginal swab,,,2,1,2016-02-05,2016-02-05,8,4,3,5,1,2,10
132,UK-24,,UK,Europe,Salford,,bronchoalveolar lavage,,,2,1,2016-02-05,2016-02-05,8,4,3,5,1,2,10
133,UK-25,,UK,Europe,Antrim,,blood,,,2,1,2016-02-05,2016-02-05,8,5,15,9,3,1,27
134,UK-26,,UK,Europe,Tameside,,blood,,,2,1,2016-02-05,2016-02-05,1,2,2,1,1,1,2
135,UK-27,,UK,Europe,Withington,,medical device,,IV Catheter Tip,2,1,2016-02-05,2016-02-05,1,2,2,1,2,1,8
136,UK-28,,UK,Europe,Salford,,medical device,,Femoral Catheter,2,1,2016-02-05,2016-02-05,13,9,17,13,1,11,28
137,UK-29,,UK,Europe,Hartlepool,,unknown,,,2,1,2016-02-05,2016-02-05,12,4,16,5,1,8,25
138,US-01,,USA,North America,,,blood,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
139,US-02,,USA,North America,,,blood,,,2,1,2016-02-05,2016-02-05,6,6,5,2,3,1,13
140,US-03,,USA,North America,"Richmond, Virginia",,oral swab,,,2,1,2016-02-05,2016-02-05,7,4,3,4,1,3,18
141,US-04,,USA,North America,"Iowa City, Iowa",,oral swab,,,2,1,2016-02-05,2016-02-05,2,5,7,5,1,2,6
142,US-05,,USA,North America,"Iowa City, Iowa",,oral swab,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
143,US-06,,USA,North America,"Iowa City, Iowa",,oral swab,,,2,1,2016-02-05,2016-02-05,1,2,2,1,2,1,8
144,US-07,,USA,North America,"Iowa City, Iowa",,oral swab,,,2,1,2016-02-05,2016-02-05,1,2,2,1,1,1,2
145,US-08,,USA,North America,"Iowa City, Iowa",,oral swab,,,2,1,2016-02-05,2016-02-05,2,5,7,5,1,2,6
146,US-09,,USA,North America,"Iowa City, Iowa",,oral swab,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
147,US-10,,USA,North America,"Detroit, Michigan",,vaginal swab,,,2,1,2016-02-05,2016-02-05,8,5,3,5,1,1,15
148,US-11,,USA,North America,"Detroit, Michigan",,vaginal swab,,,2,1,2016-02-05,2016-02-05,8,5,3,5,1,1,15
149,US-12,,USA,North America,"Detroit, Michigan",,vaginal swab,,,2,1,2016-02-05,2016-02-05,1,2,2,1,2,1,8
150,US-13,,USA,North America,"Iowa City, Iowa",,unknown,,,2,1,2016-02-05,2016-02-05,9,8,10,4,3,2,21
151,US-14,,USA,North America,"Iowa City, Iowa",,oral swab,,,2,1,2016-02-05,2016-02-05,1,2,2,1,2,1,8
152,US-15,,USA,North America,"Detroit, Michigan",,vaginal swab,,,2,1,2016-02-05,2016-02-05,1,2,2,1,1,1,2
153,US-16,,USA,North America,"Detroit, Michigan",,vaginal swab,,,2,1,2016-02-05,2016-02-05,7,7,11,10,5,9,16
154,US-17,,USA,North America,"Detroit, Michigan",,vaginal swab,,,2,1,2016-02-05,2016-02-05,7,7,11,10,5,9,16
155,US-18,,USA,North America,"Iowa City, Iowa",,oral swab,,,2,1,2016-02-05,2016-02-05,1,2,2,1,2,1,8
156,US-19,,USA,North America,"Detroit, Michigan",,vaginal swab,,,2,1,2016-02-05,2016-02-05,8,5,13,9,3,1,17
157,US-20,,USA,North America,"Detroit, Michigan",,vaginal swab,,,2,1,2016-02-05,2016-02-05,2,5,7,5,1,2,6
158,US-21,,USA,North America,"Richmond, Virginia",,oral swab,,,2,1,2016-02-05,2016-02-05,7,4,3,4,1,3,18
159,US-22,,USA,North America,"Richmond, Virginia",,oral swab,,,2,1,2016-02-05,2016-02-05,7,4,3,4,1,3,18
160,US-23,,USA,North America,"Richmond, Virginia",,oral swab,,,2,1,2016-02-05,2016-02-05,7,7,11,10,5,9,16
161,US-24,,USA,North America,"Richmond, Virginia",,oral swab,,,2,1,2016-02-05,2016-02-05,7,4,3,4,1,3,18
162,US-25,,USA,North America,"Richmond, Virginia",,oral swab,,,2,1,2016-02-05,2016-02-05,8,5,3,5,1,1,15
163,US-26,,USA,North America,"Richmond, Virginia",,oral swab,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,6,3
164,US-27,,USA,North America,"Richmond, Virginia",,oral swab,,,2,1,2016-02-05,2016-02-05,7,4,3,4,1,3,18
165,US-28,,USA,North America,"Richmond, Virginia",,oral swab,,,2,1,2016-02-05,2016-02-05,10,5,12,11,3,7,20
166,unnamed,,USA,North America,"Indianapolis, IN",,unknown,,,2,1,2016-02-05,2016-02-05,21,9,14,18,6,1,47
167,unnamed,,USA,North America,"Louisville, KY",,unknown,,,2,1,2016-02-05,2016-02-05,17,7,11,10,5,9,38
168,unnamed,,USA,North America,"Boston, MA",,unknown,,,2,1,2016-02-05,2016-02-05,10,5,19,19,1,17,43
169,unnamed,,USA,North America,"Boston, MA",,unknown,,,2,1,2016-02-05,2016-02-05,18,5,13,9,3,1,39
170,unnamed,,USA,North America,"Boston, MA",,unknown,,,2,1,2016-02-05,2016-02-05,7,9,26,17,9,2,45
171,unnamed,,USA,North America,"Boston, MA",,unknown,,,2,1,2016-02-05,2016-02-05,7,1,1,6,4,4,1
172,unnamed,,USA,North America,"Boston, MA",,unknown,,,2,1,2016-02-05,2016-02-05,7,1,1,6,4,4,1
173,unnamed,,USA,North America,"Detroit, MI",,blood,,,2,1,2016-02-05,2016-02-05,3,4,24,3,3,4,41
174,unnamed,,USA,North America,"Detroit, MI",,blood,,,2,1,2016-02-05,2016-02-05,5,7,25,7,3,6,42
175,unnamed,,USA,North America,"Detroit, MI",,blood,,,2,1,2016-02-05,2016-02-05,8,4,23,5,1,2,40
176,unnamed,,USA,North America,"St. Louis, MO",,unknown,,,2,1,2016-02-05,2016-02-05,21,9,14,18,6,1,47
177,unnamed,,USA,North America,"Albany, NY",,unknown,,,2,1,2016-02-05,2016-02-05,19,2,30,5,10,11,53
178,unnamed,,USA,North America,"New Hyde Park, NY",,unknown,,,2,1,2016-02-05,2016-02-05,7,9,26,17,9,2,45
179,unnamed,,USA,North America,"New York, NY",,blood,,,2,1,2016-02-05,2016-02-05,20,13,22,9,3,2,46
180,unnamed,,USA,North America,"Rochester, NY",,blood,,,2,1,2016-02-05,2016-02-05,8,4,23,5,1,2,40
181,unnamed,,USA,North America,"Rochester, NY",,unknown,,,2,1,2016-02-05,2016-02-05,7,5,6,12,1,8,22
182,unnamed,,USA,North America,"Cleveland, OH",,blood,,,2,1,2016-02-05,2016-02-05,3,12,22,2,3,4,56
183,unnamed,,USA,North America,"Cleveland, OH",,blood,,,2,1,2016-02-05,2016-02-05,9,8,31,4,3,2,48
184,unnamed,,USA,North America,"Hershey, PA",,blood,,,2,1,2016-02-05,2016-02-05,12,4,16,5,1,8,25
185,unnamed,,USA,North America,"Charleston, SC",,blood,,,2,1,2016-02-05,2016-02-05,10,5,19,19,1,17,43
186,unnamed,,USA,North America,"Galveston, TX",,unknown,,,2,1,2016-02-05,2016-02-05,23,11,28,20,3,9,51
187,unnamed,,USA,North America,"Galveston, TX",,unknown,,,2,1,2016-02-05,2016-02-05,22,7,11,10,5,9,52
188,unnamed,,USA,North America,"Salt Lake City, UT",,unknown,,,2,1,2016-02-05,2016-02-05,8,5,13,9,3,1,17
189,unnamed,,USA,North America,"Salt Lake City, UT",,unknown,,,2,1,2016-02-05,2016-02-05,3,12,22,2,3,4,56
190,unnamed,,USA,North America,"Salt Lake City, UT",,unknown,,,2,1,2016-02-05,2016-02-05,3,6,22,2,3,9,55
191,unnamed,,USA,North America,"Salt Lake City, UT",,unknown,,,2,1,2016-02-05,2016-02-05,3,12,22,2,3,4,56
192,unnamed,,USA,North America,"Charlottesville, VA",,blood,,,2,1,2016-02-05,2016-02-05,2,9,2,8,3,18,54
193,unnamed,,USA,North America,"Milwaukee, WI",,unknown,,,2,1,2016-02-05,2016-02-05,6,6,29,2,3,4,49
194,unnamed,,USA,North America,"Fullerton, CA",,unknown,,,2,1,2016-02-05,2016-02-05,9,9,19,2,3,4,44
195,unnamed,,USA,North America,"Wilmington, DE",,sputum,,,2,1,2016-02-05,2016-02-05,5,7,21,7,3,6,37
196,unnamed,,USA,North America,"Miami Beach, FL",,unknown,,,2,1,2016-02-05,2016-02-05,21,9,14,18,6,1,47
197,unnamed,,USA,North America,"San Antonio, TX",,unknown,,,2,1,2016-02-05,2016-02-05,6,6,5,2,3,4,19
198,unnamed,,USA,North America,"San Antonio, TX",,unknown,,,2,1,2016-02-05,2016-02-05,6,10,27,2,3,4,50
199,SCSBB423141,,UK,Europe,Scotland,,blood,,,2,1,2016-02-05,2016-02-05,25,4,3,5,1,2,57
200,AM07/0284,,Unknown,,,,blood,,,2,1,2016-02-05,2016-02-05,24,2,33,5,13,2,58
201,Taiwan3,,Taiwan,Asia,,,unknown,,,2,1,2016-02-05,2016-02-05,7,13,17,9,3,19,59
202,Taiwan2,,Taiwan,Asia,,,unknown,,,2,1,2016-02-05,2016-02-05,7,18,11,10,5,9,60
203,SCS198633,,UK,Europe,Scotland,,blood,,,2,1,2016-02-05,2016-02-05,5,14,12,11,3,2,61
204,SCS73077Q,,UK,Europe,Scotland,,blood,,,2,1,2016-02-05,2016-02-05,1,15,2,1,8,1,62
205,SCS53868,,UK,Europe,Scotland,,blood,,,2,1,2016-02-05,2016-02-05,5,17,8,7,3,6,63
206,SCS50089,,UK,Europe,Scotland,,blood,,,2,1,2016-02-05,2016-02-05,6,16,34,23,7,5,64
207,SCS68659,,UK,Europe,Scotland,,blood,,,2,1,2016-02-05,2016-02-05,6,6,32,2,3,4,65
208,Taiwan4,,Taiwan,Asia,,,unknown,,,2,1,2016-02-05,2016-02-05,3,4,4,22,3,4,66
209,SCS243536,,UK,Europe,Scotland,,blood,,,2,1,2016-02-05,2016-02-05,8,5,13,21,3,1,67
210,SCS501151,,UK,Europe,Scotland,,blood,,,2,1,2016-02-05,2016-02-05,5,7,8,7,11,6,68
211,SCS66065K,,UK,Europe,Scotland,,blood,,,2,1,2016-02-05,2016-02-05,1,2,2,1,12,1,69
212,SCS70560,,UK,Europe,Scotland,,blood,,,2,1,2016-02-05,2016-02-05,5,7,8,7,3,20,70
213,40SA,,Iran,Asia,Tehran,2009,urine,,in Amanloo et al ST101 is designated as ST71,3,4,2016-09-09,2018-11-14,7,13,17,4,3,19,101
214,42SA,,Iran,Asia,Tehran,2009,urine,,in Amanloo et al ST102 is designated as ST72,3,4,2016-09-09,2018-11-14,5,7,17,7,3,6,102
215,48SA,,Iran,Asia,Tehran,2009,blood,,in Amanloo et al ST103 is designated as ST73,3,4,2016-09-09,2018-11-14,7,13,8,9,3,19,103
216,9SA,,Iran,Asia,Tehran,2015,blood,,in Amanloo et al ST104 is designated as ST74,3,4,2016-09-09,2018-11-14,51,7,50,50,50,9,104
217,18SA,,Iran,Asia,Tehran,2009,blood,,in Amanloo et al ST104 is designated as ST74,3,4,2016-09-09,2018-11-14,51,7,50,50,50,9,104
218,19SA,,Iran,Asia,Tehran,2009,blood,,in Amanloo et al ST104 is designated as ST74,3,4,2016-09-09,2018-11-14,51,7,50,50,50,9,104
219,27SA,,Iran,Asia,Tehran,2009,blood,,in Amanloo et al ST104 is designated as ST74,3,4,2016-09-09,2018-11-14,51,7,50,50,50,9,104
220,28SA,,Iran,Asia,Tehran,2009,vaginal swab,,in Amanloo et al ST104 is designated as ST74,3,4,2016-09-09,2018-11-14,51,7,50,50,50,9,104
221,34SA,,Iran,Asia,Tehran,2009,urine,,in Amanloo et al ST104 is designated as ST74,3,4,2016-09-09,2018-11-14,51,7,50,50,50,9,104
222,35SA,,Iran,Asia,Tehran,2009,urine,,in Amanloo et al ST104 is designated as ST74,3,4,2016-09-09,2018-11-14,51,7,50,50,50,9,104
